Pixel Position,Calibrated Wavelength (nm)
699,580.6359013810609
700,581.0001545993665
701,581.3643933490539
702,581.7286176301229
703,582.0928274425735
704,582.4570227864058
705,582.8212036616198
706,583.1853700682157
707,583.549522006193
708,583.913659475552
709,584.2777824762927
710,584.6418910084151
711,585.0059850719192
712,585.370064666805
713,585.7341297930723
714,586.0981804507214
715,586.4622166397522
716,586.8262383601647
717,587.1902456119587
718,587.5542383951346
719,587.9182167096919
720,588.2821805556312
721,588.6461299329519
722,589.0100648416544
723,589.3739852817387
724,589.7378912532045
725,590.101782756052
726,590.465659790281
727,590.829522355892
728,591.1933704528844
729,591.5572040812588
730,591.9210232410146
731,592.2848279321522
732,592.6486181546713
733,593.0123939085722
734,593.3761551938549
735,593.739902010519
736,594.1036343585649
737,594.4673522379926
738,594.8310556488018
739,595.1947445909927
740,595.5584190645654
741,595.9220790695197
742,596.2857246058556
743,596.6493556735732
744,597.0129722726726
745,597.3765744031535
746,597.7401620650162
747,598.1037352582605
748,598.4672939828865
749,598.8308382388942
750,599.1943680262835
751,599.5578833450545
752,599.9213841952073
753,600.2848705767417
754,600.6483424896577
755,601.0117999339554
756,601.3752429096348
757,601.7386714166959
758,602.1020854551386
759,602.4654850249631
760,602.8288701261691
761,603.192240758757
762,603.5555969227263
763,603.9189386180774
764,604.2822658448102
765,604.6455786029246
766,605.0088768924209
767,605.3721607132986
768,605.7354300655581
769,606.0986849491992
770,606.461925364222
771,606.8251513106266
772,607.1883627884127
773,607.5515597975806
774,607.91474233813
775,608.2779104100614
776,608.6410640133743
777,609.0042031480688
778,609.367327814145
779,609.7304380116029
780,610.0935337404424
781,610.4566150006636
782,610.8196817922666
783,611.1827341152512
784,611.5457719696174
785,611.9087953553653
786,612.271804272495
787,612.6347987210063
788,612.9977787008993
789,613.3607442121738
790,613.7236952548301
791,614.0866318288681
792,614.4495539342878
793,614.8124615710891
794,615.175354739272
795,615.5382334388368
796,615.9010976697832
797,616.2639474321112
798,616.6267827258208
799,616.9896035509123
800,617.3524099073852
801,617.71520179524
802,618.0779792144764
803,618.4407421650944
804,618.8034906470941
805,619.1662246604756
806,619.5289442052386
807,619.8916492813835
808,620.2543398889098
809,620.617016027818
810,620.9796776981077
811,621.3423248997792
812,621.7049576328324
813,622.0675758972671
814,622.4301796930836
815,622.7927690202819
816,623.1553438788617
817,623.517904268823
818,623.8804501901664
819,624.2429816428911
820,624.6054986269976
821,624.9680011424858
822,625.3304891893557
823,625.6929627676072
824,626.0554218772404
825,626.4178665182553
826,626.780296690652
827,627.1427123944302
828,627.5051136295901
829,627.8675003961316
830,628.2298726940548
831,628.5922305233598
832,628.9545738840465
833,629.3169027761147
834,629.6792171995646
835,630.0415171543964
836,630.4038026406097
837,630.7660736582046
838,631.1283302071813
